"BORI, Donata: Il raffrescamento passivo degli edifici. Sistemi editoriali, Nápoles, 2006",null
"HAUSLADEN, G. Climate Skin: Building-skin Concepts that Can Do More with Less Energy, Birkhäuser, 2008",null
"MOLINA IGARTUA, Gonzalo: The building construction sector and the last developments in energy policy.En: ECTP conference. Amsterdam, 19 noviembre 2007",null
"OXMAN, R., Performance-based Design: Current Practices and Research Issues. International Journal of Architectural Computing, Número 01, Volumen 06, 2008, pp. 01-17, 2008",http://journals.sagepub.com/doi/pdf/10.1260/147807708784640090
"SNELL, Clarke and CALLAHAN, Tim. Building Green: a complete how-to guide to alternative building methods. LARK BOOKS, 2005.",null
"AA VV: Handbook of fundamentals, ASHRAE, Atlanta, 1989. Cap. 27 ",null
"LIU K. & BASKARAN B.: Thermal performance of Green roofs through field evaluation, NRC (National Research Council Canada). 2003. 11 p. ",http://www.csustentavel.com/wp-content/uploads/2013/10/termica-gr-canada.pdf
"HITCHMOUGH J. & FIELDHOUSE K. (eds), Plant User Handbook, A guide to effective specifying, Blackwell Science, Oxford, 2004, 402 p. ",null
"Wong, Nyuk; Kwang, Alex; Chen, Yu; Sekar, Kannagi; Tan, Puay; Chan, Derek; Chiang, Kelly & Chung, Ngian (2010) Thermal evaluation of vertical greenery systems for building walls. En Building and Environment Vol. 45, N° 3: 663-672. ",http://www.sciencedirect.com/science/article/pii/S036013230900198X
"Schittich, C (ed.) 2006, Building Skins, Birkhauser, Munich. ","https://books.google.com.co/books?hl=es&lr=&id=9TzTAAAAQBAJ&oi=fnd&pg=PA8&dq=Schittich,+C+(ed.)+2006,+Building+Skins,+Birkhauser,+Munich.&ots=N4wjLqTCxd&sig=F2qjTQfeERXtP1n-6s7ZpzMakIM#v=onepage&q&f=false"
"De Dear & Brager. (2002) Thermal comfort in naturally ventilated buildings: revision to ASHRAE Standard 55, Revista Energy and Buildings, Vol. 43, pp. 549-561.",http://www.sysecol2.ethz.ch/OptiControl/LiteratureOC/Dear_02_EB_34_549.pdf
Engineering Tool Box (The) (2012). Thermal conductivity of some common materials and gases. ,http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html
"Ganem, C., Coch, H., Esteves, A. (2008) Adaptive comfort and climate sensitive architecture: How occupants feel in their homes? En Plea 2008 – The 25th Conference in Passive and Low Energy Architecture, Dublin, Scotland, 22-24 October 2008. ",http://upcommons.upc.edu/bitstream/handle/2117/22904/PLEA_FinalPaper_ref_408.pdf?sequence=1&isAllowed=y
"Haase M., Amato A. (2006, Septiembre) Ventilated façade design in hot and humid climate. En: PLEA2006 - The 23rd Conference on Passive and Low Energy Architecture, Geneva, Switzerland, 6-8 September 2006. ",http://plea-arch.org/ARCHIVE/2006/Vol1/PLEA2006_PAPER510.pdf
"Lukasik J., Van Aerschot C. (2007,  noviembre 19). Energy efficiency in buildings. A WBSCD initiative. ",http://www.ectp.org/amsterdam2007.asp 
Stephenson D.G.(1963) CBD-47. Extreme Temperatures at the Outer Surfaces of Buildings (Originally published November 1963).,http://web.mit.edu/parmstr/Public/NRCan/CanBldgDigests/cbd047_e.html
"Papadopoulos Agis M.: Energy Cost and its Impact on Regulating Building Energy Behaviour. En: Advances in Building Energy Research, Volume 1, Issue 1, 2007",http://www.tandfonline.com/doi/abs/10.1080/17512549.2007.9687271
