,,UTCI,,IDEAM CI,,APP_TEMP,,DISTORTION,SILHOUETTE CF
n clusters,,abs dev,SD,abs dev,SD,abs dev,SD,,
3
,0,4.356,5.405,1.274,2.76,4.231,4.605,0.057,0.346
,1,4.603,4.878,1.652,2.276,5.788,4.3,0.068,0.335
,2,4.552,5.589,1.653,3.354,5.583,5.944,0.066,0.39
,means:,4.504,5.29,1.527,2.797,5.201,4.95,0.064,0.357
4
,0,3.211,3.89,1.011,1.799,3.289,3.315,0.042,0.406
,1,3.424,2.683,1.442,0.89,4.964,2.483,0.05,0.402
,2,1.905,2.147,0.85,0.912,2.551,2.052,0.029,0.511
,3,4.514,5.603,2.285,3.601,4.141,4.526,0.069,0.316
,means:,3.263,3.581,1.397,1.8,3.736,3.094,0.048,0.409
5
,0,2.505,2.766,0.92,1.373,2.736,2.453,0.038,0.451
,1,3.12,1.976,1.42,0.642,4.816,1.955,0.045,0.418
,2,1.879,2.126,0.833,0.837,2.473,1.946,0.029,0.486
,3,4.154,4.885,2.497,4.046,3.934,4.258,0.073,0.17
,4,2.964,3.591,2.028,3.128,3.649,3.885,0.041,0.308
,means:,2.924,3.069,1.54,2.005,3.521,2.9,0.045,0.367
6
,0,2.145,2.524,0.867,1.279,2.505,2.371,0.022,0.303
,1,3.059,1.933,1.448,0.64,4.842,1.855,0.039,0.429
,2,1.653,1.794,0.848,0.741,2.47,1.841,0.023,0.414
,3,3.995,4.675,2.525,4.018,3.757,4.039,0.073,0.182
,4,2.976,3.591,2.028,3.137,3.632,3.865,0.041,0.311
,5,2.722,3.022,1.022,1.44,2.966,2.499,0.035,0.435
,means:,2.758,2.923,1.456,1.876,3.362,2.745,0.039,0.346
7
,0,2.169,2.576,0.864,1.308,2.52,2.42,0.021,0.327
,1,3.095,2.013,1.463,0.683,4.99,1.879,0.033,0.451
,2,2.213,2.273,1.228,0.956,3.579,2.348,0.023,0.27
,3,3.956,4.616,2.529,3.995,3.701,3.984,0.072,0.185
,4,2.968,3.581,1.994,3.127,3.603,3.846,0.04,0.31
,5,2.764,3.109,1.006,1.483,2.958,2.554,0.031,0.429
,6,1.488,1.714,0.687,0.707,2.134,1.728,0.013,0.42
,means:,2.665,2.84,1.396,1.751,3.355,2.68,0.033,0.342
8
,0,1.877,2.116,0.81,1.073,2.24,2.005,0.019,0.342
,1,3.059,1.936,1.46,0.665,4.975,1.82,0.033,0.453
,2,2.111,2.124,1.208,0.829,3.491,2.166,0.022,0.282
,3,3.879,4.759,1.932,3.448,3.543,3.78,0.052,0.254
,4,2.006,2.526,1.586,2.422,2.3,2.528,0.028,0.335
,5,2.593,2.852,0.983,1.423,2.833,2.369,0.03,0.43
,6,1.373,1.551,0.668,0.587,2.008,1.531,0.012,0.434
,7,3.513,4.361,2.769,2.921,2.299,2.524,0.049,0.244
,means:,2.551,2.778,1.427,1.671,2.961,2.34,0.031,0.347
9
,0,1.983,2.154,0.823,1.256,2.277,1.972,0.019,0.397
,1,2.941,1.767,1.462,0.632,4.941,1.617,0.027,0.448
,2,1.848,2.066,0.787,1.01,2.277,1.971,0.015,0.281
,3,3.584,4.533,1.837,3.252,3.281,3.589,0.048,0.247
,4,2.01,2.509,1.599,2.45,2.385,2.598,0.028,0.347
,5,3.154,3.277,1.084,1.352,3.512,2.699,0.029,0.435
,6,1.312,1.431,0.682,0.598,2.023,1.522,0.011,0.42
,7,3.63,4.429,2.785,2.917,2.252,2.432,0.052,0.236
